scene,patch_cal,SAR_Longitude,SAR_Latitude,SAR_Start_Time,SAR_End_Time,Detection_Time,MMSI,Sog,Cog,True_Head,AIS_Longitude,AIS_Latitude,AIS_Length,AIS_Width,Ship_Type,Nav_Status,Draught,Gross_tonnage,Deadweight,category,has_ais,_orig_order,Pred_Lat,Pred_Lon,Kalman_Lat,Kalman_Lon,Kalman_Shift_m
S1A_IW_SLC__1SDV_20150914T102506_20150914T102536_007710_00AB4B_29F8,Other Type_x8138_y5981.tif,114,22.6,9/14/2015 10:25,9/14/2015 10:25,9/14/2015 10:25,110300325,0.0,27.23,,114.401039,22.592367,0,0,0,0,0,,,Other Type,True,3127,22.592367,114.401039,22.592367,114.401039,0.0
S1A_IW_SLC__1SDV_20160515T095425_20160515T095452_011268_0110F6_EE88,Other Type_x56103_y4026.tif,123,30.7,5/15/2016 9:54,5/15/2016 9:54,5/15/2016 9:54,112001168,0.04,5.14,,122.791069,30.710962,0,0,0,0,0,,,Other Type,True,5313,30.710962,122.791069,30.710962,122.791069,0.0
S1A_IW_GRDH_1SDV_20160513T221231_20160513T221256_011246_011040_617A,Cargo_x2135_y10163.tif,119,39.0,5/13/2016 22:12,5/13/2016 22:12,5/13/2016 22:12,140041860,0.5599999999999999,25.3,,119.078766,38.980934,110,17,70,0,0,,,Cargo,True,1990,38.980934,119.078766,38.980934,119.078766,0.0
S1A_IW_GRDH_1SDV_20160326T221226_20160326T221251_010546_00FAC9_4D44,Cargo_x5966_y16492.tif,119,38.6,3/26/2016 22:12,3/26/2016 22:12,3/26/2016 22:12,140041869,0.47000000000000003,23.2,,118.543152,38.640331,110,17,70,0,0,,,Cargo,True,1094,38.640331,118.543152,38.640331,118.543152,0.0
S1A_IW_GRDH_1SDV_20160513T221231_20160513T221256_011246_011040_617A,Fishing_x6464_y11970.tif,119,38.9,5/13/2016 22:12,5/13/2016 22:12,5/13/2016 22:12,150200002,0.48,32.31,,118.54467,38.887917,0,0,30,0,0,,,Fishing,True,2001,38.887917,118.54467,38.887917,118.54467,0.0
S1A_IW_GRDH_1SDV_20160407T221226_20160407T221251_010721_00FFEA_ADBD,Fishing_x6265_y16233.tif,119,38.7,4/7/2016 22:12,4/7/2016 22:12,4/7/2016 22:12,150200990,0.5900000000000001,30.53,,118.513763,38.66795,0,0,30,0,0,,,Fishing,True,1755,38.66795,118.513763,38.66795,118.513763,0.0
S1A_IW_GRDH_1SDV_20160407T221226_20160407T221251_010721_00FFEA_ADBD,Cargo_x2497_y11575.tif,119,39.0,4/7/2016 22:12,4/7/2016 22:12,4/7/2016 22:12,150201179,1.03,7.06,,119.044983,39.028999,110,20,70,0,0,,,Cargo,True,1731,39.02900372917064,119.04498375396011,39.028999630556086,119.04498310052801,0.07065030901696397
S1A_IW_GRDH_1SDV_20160525T221231_20160525T221256_011421_0115FD_6054,Cargo_x5673_y11475.tif,119,38.9,5/25/2016 22:12,5/25/2016 22:12,5/25/2016 22:12,150201179,1.0,6.9,,118.64357,38.92355,110,20,70,0,0,,,Cargo,True,2268,39.02900357153162,119.0449837288281,38.95173358259197,118.75085206561107,9793.841489849638
S1A_IW_GRDH_1SDV_20160326T221226_20160326T221251_010546_00FAC9_4D44,Cargo_x7837_y13636.tif,118,38.9,3/26/2016 22:12,3/26/2016 22:12,3/26/2016 22:12,150201387,0.82,13.959999999999999,,118.392197,38.930618,98,18,70,0,0,,,Cargo,True,1084,38.930618,118.392197,38.930618,118.392197,0.0
S1A_IW_GRDH_1SDV_20160114T221226_20160114T221251_009496_00DC88_46B2,Tanker_x11371_y16273.tif,118,38.7,1/14/2016 22:12,1/14/2016 22:12,1/14/2016 22:12,150203145,0.0,6.58,,117.938217,38.747417,55,9,83,0,0,,,Tanker,True,458,38.747417,117.938217,38.747417,117.938217,0.0
S1A_IW_GRDH_1SDV_20160328T095421_20160328T095446_010568_00FB64_215C,Fishing_x12816_y14851.tif,122,31.3,3/28/2016 9:54,3/28/2016 9:54,3/28/2016 9:54,150203795,0.01,18.3,,121.752914,31.288816,90,36,30,0,0,,,Fishing,True,1327,31.288816,121.752914,31.288816,121.752914,0.0
S1A_IW_SLC__1SDV_20160515T095425_20160515T095452_011268_0110F6_EE88,Fishing_x56818_y3877.tif,123,30.7,5/15/2016 9:54,5/15/2016 9:54,5/15/2016 9:54,150205008,0.0,11.66,,122.819267,30.696617,0,35,30,0,0,,,Fishing,True,5289,30.696617,122.819267,30.696617,122.819267,0.0
S1A_IW_SLC__1SDV_20160515T095425_20160515T095452_011268_0110F6_EE88,Other Type_x36951_y3851.tif,122,30.6,5/15/2016 9:54,5/15/2016 9:54,5/15/2016 9:54,168168168,0.55,12.040000000000001,,122.112732,30.58667,0,0,0,0,0,,,Other Type,True,5153,30.58667,122.112732,30.58667,122.112732,0.0
S1A_IW_SLC__1SDV_20151129T095422_20151129T095449_008818_00C950_A7B3,Cargo_x59808_y5630.tif,123,30.8,11/29/2015 9:54,11/29/2015 9:54,11/29/2015 9:54,200002207,0.16999999999999998,2.17,,122.9095,30.7649,0,0,70,15,0,,,Cargo,True,3570,30.7649,122.9095,30.7649,122.9095,0.0
S1A_IW_SLC__1SDV_20160116T095420_20160116T095447_009518_00DD1D_34CF,Fishing_x33200_y3067.tif,122,30.3,1/16/2016 9:54,1/16/2016 9:54,1/16/2016 9:54,200009330,0.01,22.43,,122.027847,30.30365,0,0,30,0,0,,,Fishing,True,3638,30.30365,122.027847,30.30365,122.027847,0.0
S1A_IW_SLC__1SDV_20150925T094621_20150925T094649_007870_00AF94_3E64,Other Type_x1013_y5859.tif,123,31.2,9/25/2015 9:46,9/25/2015 9:46,9/25/2015 9:46,200012939,0.43,17.19,173.0,122.520073,31.165342,0,0,0,0,0,,,Other Type,True,3188,31.165342,122.520073,31.165342,122.520073,0.0
S1A_IW_SLC__1SDV_20160304T095420_20160304T095447_010218_00F169_EF1C,Dredging_x15499_y5463.tif,121,30.5,3/4/2016 9:54,3/4/2016 9:54,3/4/2016 9:54,200804300,0.02,27.65,,121.265625,30.487667,83,14,33,0,24,,,Dredging,True,3878,30.487667,121.265625,30.487667,121.265625,0.0
S1A_IW_GRDH_1SDV_20160525T221231_20160525T221256_011421_0115FD_6054,Tanker_x2002_y8352.tif,119,39.1,5/25/2016 22:12,5/25/2016 22:12,5/25/2016 22:12,201476225,0.01,29.28,,119.131332,39.141968,0,0,82,0,0,,,Tanker,True,2219,39.141968,119.131332,39.141968,119.131332,0.0
